AccX,AccY,AccZ
-0.013,0.004,-9.853
-0.007,0.013,-9.902
0.037,-0.036,-9.831
0.009,0.005,-9.823
0.029,-0.033,-9.871
0.027,-0.056,-9.841
0.005,0.017,-9.853
0.026,-0.09,-9.843
0.019,-0.029,-9.887
0.025,-0.019,-9.85
0.013,-0.001,-9.844
-0.009,-0.04,-9.851
0.005,0.034,-9.853
0.048,-0.067,-9.893
0.032,-0.068,-9.843
-0.015,0.004,-9.893
0.052,-0.057,-9.949
0.021,-0.026,-9.825
0.059,-0.06,-9.859
0.016,-0.022,-9.885
0.021,-0.017,-9.863
0.021,-0.025,-9.908
0.026,-0.011,-9.873
0.02,-0.035,-9.844
0.042,-0.057,-9.845
-0.004,-0.015,-9.866
0.04,-0.043,-9.873
0.048,-0.061,-9.855
0.047,-0.055,-9.895
0.004,-0.022,-9.86
0.037,-0.047,-9.848
0.026,-0.033,-9.862
0.002,-0.016,-9.838
-0.005,0.015,-9.863
0.033,-0.042,-9.844
-0.015,-0.007,-9.824
0.045,-0.087,-9.879
0.011,-0.017,-9.873
0.006,-0.002,-9.855
0,-0.014,-9.899
-0.011,-0.002,-9.958
0.018,-0.002,-9.892
0.035,-0.032,-9.875
0.028,-0.065,-9.818
0.047,-0.045,-9.85
0.003,-0.029,-9.87
0.003,0.005,-9.871
-0.007,-0.009,-9.919
0.029,-0.046,-9.847
0.015,-0.009,-9.824
0.033,-0.061,-9.841
0.026,-0.064,-9.902
0.015,-0.037,-9.875
0.02,-0.041,-9.918
0.024,-0.048,-9.874
0.028,-0.059,-9.913
0.02,-0.002,-9.88
-0.008,0.009,-9.908
0.053,-0.043,-9.857
0.009,-0.042,-9.824
0.029,-0.019,-9.882
0.032,-0.06,-9.822
0.001,0.005,-9.857
0.037,-0.04,-9.863
0.022,-0.052,-9.889
0,-0.004,-9.856
0.008,0.008,-9.842
0.002,-0.02,-9.832
0.012,-0.034,-9.913
0.022,-0.02,-9.838
0.01,-0.023,-9.898
0.023,-0.037,-9.918
0.041,-0.066,-9.868
0.031,-0.043,-9.822
0.017,-0.03,-9.833
0.014,-0.046,-9.873
0.042,-0.043,-9.844
0.022,-0.038,-9.875
0.023,-0.035,-9.844
0.009,-0.034,-9.907
0.041,-0.049,-9.873
0.038,-0.081,-9.828
0.021,-0.013,-9.906
0.004,0.003,-9.875
0.031,-0.037,-9.883
0.012,-0.024,-9.859
-0.005,0.033,-9.925
0.016,-0.045,-9.859
0.028,-0.049,-9.899
0.018,-0.031,-9.869
0.027,-0.016,-9.836
